abajo;abaj
estatua;estatu
estatuas;estatu
estelar;estel
estemos;estem
estilo;estil
estimado;estim
estirar;estir
estomago;estomag
estrategia;estrategi
estrecho;estrech
estrella;estrell
estrellas;estrell
estrelló;estrell
estreno;estren
estrictamente;estrict
estructura;estructur
estrés;estres
estudia;estudi
estudiado;estudi
estudiando;estudi
estudiante;estudi
estudiantes;estudi
estudiar;estudi
estudio;estudi
estudios;estudi
estudié;estudi
estupenda;estupend
estupendo;estupend
estupideces;estupidec
estupido;estup
estuve;estuv
estuviera;estuv
estuvieran;estuv
estuvieras;estuv
estuvieron;estuv
estuviese;estuv
estuvimos;estuv
estuviste;estuv
estuviéramos;estuv
estuvo;estuv
está;esta
estábamos;estab
estáis;estais
están;estan
estás;estas
esté;este
estén;esten
estés;estes
estómago;estomag
estúpida;estup
estúpidas;estup
estúpido;estup
estúpidos;estup
etapa;etap
etcétera;etceter
eterna;etern
eternamente;etern
eternidad;etern
eterno;etern
etiqueta;etiquet
europa;europ
euros;eur
evacuación;evacu
evacuar;evacu
evaluación;evalu
evento;event
eventos;event
eventualmente;eventual
evidencia;evident
evidencias;evident
evidente;evident
evidentemente;evident
evitar;evit
evitarlo;evit
evolución;evolu
exacta;exact
exactamente;exact
exacto;exact
exagerando;exager
examen;exam
examinar;examin
excavación;excav
excelencia;excelent
excelente;excelent
excelentes;excelent
excepción;excepcion
excepto;except
exceso;exces
excita;excit
excitante;excit
exclusiva;exclus
excursión;excursion
excusa;excus
excusas;excus
exhausto;exhaust
exhibición;exhibicion
exige;exig
exijo;exij
exista;exist
existe;exist
existen;exist
existencia;existent
existido;exist
existir;exist
existía;exist
exitosa;exit
expectativas;expect
expedición;expedicion
expediente;expedient
expedientes;expedient
experiencia;experient
experiencias;experient
experimentado;experiment
experimentar;experiment
experimento;experiment
experimentos;experiment
experta;expert
experto;expert
expertos;expert
explica;explic
explicaciones;explic
explicación;explic
explicado;explic
explicar;explic
explicarle;explic
explicarlo;explic
explicarme;explic
explicarte;explicart
explicaré;explic
explicaría;explic
explicas;explic
explico;explic
explique;expliqu
explorador;explor
exploradores;explor
explorar;explor
explosivo;explos
explosivos;explos
explosión;explosion
explota;explot
explotar;explot
explotó;explot
explícame;explicam
exposición;exposicion
expresar;expres
expresión;expresion
expreso;expres
expulsado;expuls
exquisito;exquisit
extensión;extension
exteriores;exterior
extiende;extiend
extracción;extraccion
extranjera;extranjer
extranjero;extranjer
extranjeros;extranjer
extraordinaria;extraordinari
extraordinario;extraordinari
extraterrestre;extraterrestr
extraterrestres;extraterrestr
extraña;extrañ
extrañamos;extrañ
extrañar;extrañ
extrañaré;extrañ
extrañas;extrañ
extraño;extrañ
extraños;extrañ
extrañé;extrañ
extremadamente;extrem
extremo;extrem
exámenes;examen
fabulosa;fabul
fabuloso;fabul
faché;fach
facilidad;facil
factura;factur
facturas;factur
facultad;facult
falda;fald
falla;fall
fallado;fall
fallar;fall
fallas;fall
fallaste;fall
falleció;fallec
fallo;fall
fallé;fall
falló;fall
falsa;fals
falsas;fals
falso;fals
falsos;fals
falta;falt
faltaba;falt
faltan;falt
faltó;falt
fama;fam
familia;famili
familiar;famili
familiares;familiar
familias;famili
famosa;famos
famoso;famos
famosos;famos
fantasma;fantasm
fantasmas;fantasm
fantastico;fantast
fantasía;fantas
fantasías;fantas
fantástica;fantast
fantástico;fantast
fanático;fanat
fanáticos;fanat
faraón;faraon
farmacia;farmaci
faro;far
farsa;fars
farsante;farsant
fascinante;fascin
fase;fas
favela;favel
favores;favor
favorita;favorit
favoritas;favorit
favorito;favorit
favoritos;favorit
febrero;febrer
fecha;fech
federación;feder
federales;federal
felices;felic
felicidad;felic
felicidades;felic
felicitaciones;felicit
felicito;felicit
femenina;femenin
femenino;femenin
fenómeno;fenomen
fenómenos;fenomen
feria;feri
fianza;fianz
fibra;fibr
ficción;ficcion
ficha;fich
fichas;fich
fiebre;fiebr
fieles;fiel
fiesta;fiest
fiestas;fiest
figura;figur
figuras;figur
fijado;fij
fijo;fij
fila;fil
filas;fil
filete;filet
filmando;film
filmar;film
filme;film
filosofía;filosof
fina;fin
finales;final
finalmente;final
financiera;financ
financiero;financier
finanzas;finanz
fines;fin
finge;fing
fingiendo;fing
fingir;fing
fino;fin
firma;firm
firmada;firm
firmado;firm
firmar;firm
firmas;firm
firme;firm
firmes;firm
firmo;firm
firmó;firm
flaco;flac
flanco;flanc
flecha;flech
flechas;flech
flexible;flexibl
flores;flor
florida;flor
flota;flot
flotando;flot
fluido;flu
flujo;fluj
fogata;fogat
fondo;fond
fondos;fond
forastero;foraster
forense;forens
forma;form
formación;formacion
forman;form
formar;form
formas;form
formen;form
formidable;formid
formulario;formulari
formularios;formulari
fortaleza;fortalez
fortuna;fortun
forzado;forz
foto;fot
fotografía;fotograf
fotografías;fotograf
fotos;fot
fotógrafo;fotograf
fracasado;fracas
fracaso;fracas
fractura;fractur
fragmentos;fragment
francamente;franc
francesa;frances
franceses;frances
francia;franci
franco;franc
francos;franc
francotirador;francotir
francotiradores;francotir
francés;frances
frasco;frasc
frase;fras
frases;fras
fraude;fraud
frecuencia;frecuenci
frecuencias;frecuenci
freno;fren
frenos;fren
frente;frent
fresas;fres
fresca;fresc
fresco;fresc
frijoles;frijol
frio;fri
fritas;frit
frito;frit
fritos;frit
frontera;fronter
fronteras;fronter
fruta;frut
frutas;frut
frágil;fragil
fría;fri
frías;fri
frío;fri
fuego;fueg
fuegos;fueg
fuente;fuent
fuentes;fuent
fuera;fuer
fueran;fuer
fueras;fuer
fuerte;fuert
fuertemente;fuertement
fuertes;fuert
fuerza;fuerz
fuerzas;fuerz
fuese;fues
fuga;fug
fugitivo;fugit
fugitivos;fugit
fuimos;fuim
fuiste;fuist
fuma;fum
fumando;fum
fumar;fum
fumas;fum
fumo;fum
funciona;funcion
funcionado;funcion
funcionamiento;funcion
funcionan;funcion
funcionando;funcion
funcionar;funcion
funcionara;funcion
funcionará;funcion
funcione;funcion
funciones;funcion
funcionó;funcion
función;funcion
fundación;fundacion
furgoneta;furgonet
furia;furi
furiosa;furios
furioso;furios
fusión;fusion
futura;futur
futuro;futur
fué;fue
fuéramos;fuer
fuí;fui
fábrica;fabric
fácil;facil
fáciles;facil
fácilmente;facil
fé;fe
fíjate;fijat
fíjense;fijens
física;fisic
físicamente;fisic
físico;fisic
físicos;fisic
fórmula;formul
fútbol;futbol
gabinete;gabinet
gafas;gaf
gala;gal
galaxia;galaxi
galería;gal
galleta;gallet
galletas;gallet
gallina;gallin
gallinas;gallin
galáctica;galact
gana;gan
ganaba;gan
ganado;gan
ganadora;ganador
ganadores;ganador
ganamos;gan
ganan;gan
ganancia;gananci
ganancias;gananci
ganando;gan
ganar;gan
ganaremos;gan
ganarle;gan
ganarme;gan
ganaron;gan
ganarse;gan
ganará;gan
ganas;gan
ganaste;gan
gancho;ganch
gane;gan
gano;gan
gané;gan
ganó;gan
garage;garag
garaje;garaj
garantizo;garantiz
garantía;garant
garganta;gargant
garras;garr
gaseosa;gaseos
gases;gas
gasolina;gasolin
gastado;gast
gastar;gast
gasto;gast
gastos;gast
gatillo;gatill
gatito;gatit
gato;gat
gatos;gat
gelatina;gelatin
gemela;gemel
gemelas;gemel
gemelos;gemel
generaciones;gener
generación;gener
generador;gener
generadores;gener
generales;general
generalmente;general
generosa;gener
generosidad;gener
generoso;gener
genes;gen
geniales;genial
genio;geni
gente;gent
genética;genet
gerente;gerent
gesto;gest
gigante;gigant
gigantes;gigant
gilipollas;gilipoll
gimnasia;gimnasi
gimnasio;gimnasi
ginebra;ginebr
gira;gir
girando;gir
girar;gir
giro;gir
globo;glob
globos;glob
gloria;glori
glorioso;glorios
gobernador;gobern
gobernar;gobern
gobierno;gobiern
golfo;golf
golpe;golp
golpea;golpe
golpeado;golp
golpeando;golp
golpear;golp
golpearme;golp
golpearon;golp
golpeaste;golp
golpee;golpe
golpes;golp
golpeó;golpe
goma;gom
gorda;gord
gordito;gordit
gordo;gord
gordos;gord
gorila;goril
gorra;gorr
gorro;gorr
gota;got
gotas;got
grabación;grabacion
grabado;grab
grabando;grab
grabar;grab
gracia;graci
gracias;graci
graciosa;gracios
gracioso;gracios
grado;grad
grados;grad
graduación;graduacion
gramos;gram
granada;gran
granadas;gran
grande;grand
grandes;grand
grandeza;grandez
grandiosa;grandios
grandioso;grandios
grandote;grandot
granero;graner
granja;granj
granjero;granjer
grano;gran
grasa;gras
grave;grav
gravedad;graved
graves;grav
grecia;greci
griego;grieg
griegos;grieg
gripe;grip
grita;grit
gritaba;grit
gritando;grit
gritar;grit
grite;grit
grites;grit
grito;grit
gritos;grit
gritó;grit
grosero;groser
grupo;grup
grupos;grup
grúa;gru
guante;guant
guantes;guant
guapa;guap
guapo;guap
guarda;guard
guardado;guard
guardaespaldas;guardaespald
guardan;guard
guardar;guard
guardas;guard
guarde;guard
guardería;guard
guardia;guardi
guardianes;guardian
guardias;guardi
guardián;guardian
guardo;guard
guarida;guar
guerra;guerr
guerras;guerr
guerrera;guerrer
guerrero;guerrer
guerreros;guerrer
guiar;gui
guitarra;guitarr
guión;guion
gusano;gusan
gusanos;gusan
gusta;gust
gustaba;gust
gustaban;gust
gustado;gust
gustan;gust
gustar;gust
gustara;gust
gustaria;gustari
gustará;gust
gustaría;gust
gustas;gust
guste;gust
gusten;gust
gustes;gust
gusto;gust
gustó;gust
guía;gui
génesis;genesis
haber;hab
haberla;hab
haberle;hab
haberlo;hab
haberlos;hab
haberme;hab
habernos;hab
haberse;hab
haberte;habert
habia;habi
habian;habi
habias;habi
habido;hab
habiendo;hab
habilidad;habil
habilidades;habil
habitaciones;habit
habitación;habit
habitantes;habit
habla;habl
hablaba;habl
hablaban;habl
hablabas;habl
hablado;habl
hablamos;habl
hablan;habl
hablando;habl
hablar;habl
hablara;habl
hablaremos;habl
hablarle;habl
hablarles;habl
hablarlo;habl
hablarme;habl
hablaron;habl
hablarte;hablart
hablará;habl
hablaré;habl
hablas;habl
hablaste;habl
hable;habl
hablemos;habl
hablen;habl
hables;habl
hablo;habl
hablábamos;habl
hablé;habl
habló;habl
habra;habr
habria;habri
habrá;habr
habrán;habran
habrás;habras
habré;habr
habría;habr
habríamos;habr
habrían;habr
habrías;habr
habéis;hab
había;hab
habíamos;hab
habían;hab
habías;hab
hace;hac
hacemos;hac
hacen;hac
hacer;hac
hacerla;hac
hacerle;hac
hacerles;hac
hacerlo;hac
hacerlos;hac
hacerme;hac
hacernos;hac
hacerse;hac
hacerte;hacert
haces;hac
hacha;hach
hacia;haci
hacienda;haciend
haciendo;hac
haciéndolo;hac
hacéis;hac
hacía;hac
hacíamos;hac
hacían;hac
hacías;hac
hada;had
hadas;had
haga;hag
hagamos;hag
hagan;hag
hagas;hag
hago;hag
hagámoslo;hagamosl
halcón;halcon
hale;hal
halla;hall
hallado;hall
hallamos;hall
hallar;hall
hallaron;hall
hallé;hall
halló;hall
hambre;hambr
hambriento;hambrient
hambrientos;hambrient
hamburguesa;hamburgues
hamburguesas;hamburgues
hanzo;hanz
hara;har
haras;har
haremos;har
haria;hari
harina;harin
harta;hart
harto;hart
hará;har
harán;haran
harás;haras
haré;har
haría;har
haríamos;har
harían;har
harías;har
hasta;hast
haya;hay
hayamos;hay
hayan;hay
hayas;hay
hazle;hazl
hazlo;hazl
hazme;hazm
hazte;hazt
hecha;hech
hechas;hech
hechizo;hechiz
hecho;hech
hechos;hech
helada;hel
helado;hel
helados;hel
helena;helen
helicóptero;helicopter
helicópteros;helicopter
hembra;hembr
hemorragia;hemorragi
hemos;hem
heredero;hereder
herencia;herenci
herida;her
heridas;her
herido;her
heridos;her
herir;her
hermana;herman
hermanas;herman
hermandad;hermand
hermanita;hermanit
hermanito;hermanit
hermano;herman
hermanos;herman
hermosa;hermos
hermosas;herm
hermoso;hermos
hermosos;hermos
heroe;hero
heroína;heroin
herramienta;herramient
herramientas;herramient
hice;hic
hiciera;hic
hicieran;hic
hicieras;hic
hicieron;hic
hicimos;hic
hiciste;hic
hielo;hiel
hierba;hierb
hierro;hierr
hija;hij
hijas;hij
hijita;hijit
hijo;hij
hijos;hij
hilo;hil
hipoteca;hipotec
hirieron;hir
hirió;hir
historia;histori
historias;histori
histórico;histor
hizo;hiz
hogar;hog
hogares;hogar
hoguera;hoguer
hoja;hoj
hojas;hoj
hola;hol
holanda;holand
hombre;hombr
hombrecito;hombrecit
hombres;hombr
hombro;hombr
hombros;hombr
homicidio;homicidi
homicidios;homicidi
homosexuales;homosexual
hondo;hond
honesta;honest
honestamente;honest
honestidad;honest
honesto;honest
honestos;honest
hongos;hong
honorable;honor
honores;honor
honra;honr
honrado;honr
hora;hor
horario;horari
horas;hor
horizonte;horizont
hormigas;hormig
horno;horn
horrible;horribl
horribles;horribl
hospitales;hospital
hospitalidad;hospital
hoteles;hotel
hoyo;hoy
hubiera;hub
hubieran;hub
hubieras;hub
hubiese;hub
hubiesen;hub
hubieses;hub
hubiéramos;hub
hubo;hub
hueco;huec
huele;huel
huelen;huel
hueles;huel
huelga;huelg
huella;huell
huellas;huell
huelo;huel
hueso;hues
huesos;hues
huevo;huev
huevos;huev
hueón;hueon
huido;huid
humana;human
humanas;human
humanidad;human
humano;human
humanos;human
humedad;humed
humilde;humild
humillación;humill
humo;hum
huracán;huracan
hurra;hurr
huye;huy
huyendo;huyend
huyó;huy
huérfanos;huerfan
huésped;huesp
huéspedes;huesped
hábil;habil
hábito;habit
hábitos;habit
háblame;hablam
hágalo;hagal
háganlo;haganl
héroe;hero
héroes;her
hígado;hig
húmedo;humed
ibamos;ibam
idea;ide
ideales;ideal
ideas;ide
identidad;ident
identificación;identif
identificado;identific
identificar;identific
idioma;idiom
idiomas;idiom
idiota;idiot
idiotas;idiot
iglesia;iglesi
ignorancia;ignor
ignorante;ignor
ignorar;ignor
iguales;igual
igualmente;igual
ilegales;ilegal
iluminación;ilumin
ilusiones;ilusion
ilusión;ilusion
imagen;imag
imagina;imagin
imaginaba;imagin
imaginación;imagin
imaginado;imagin
imaginar;imagin
imaginarme;imagin
imaginas;imagin
imagine;imagin
imagino;imagin
imaginé;imagin
imagínate;imaginat
imbécil;imbecil
imbéciles;imbecil
imitación;imit
impacto;impact
impecable;impec
impedir;imped
imperdonable;imperdon
imperio;imperi
impide;impid
implante;implant
implantes;implant
implica;implic
importa;import
importaba;import
importan;import
importancia;import
importante;import
importantes;import
importar;import
importará;import
importaría;import
importas;import
importe;import
importó;import
imposible;impos
impresionada;impresion
impresionado;impresion
impresionante;impresion
impresionar;impresion
impresionó;impresion
impresión;impresion
improbable;improb
impuestos;impuest
impulso;impuls
impulsos;impuls
imágenes;imagen
inaceptable;inacept
inauguración;inaugur
incendio;incendi
incendios;incendi
incidente;incident
incluido;inclu
incluir;inclu
inclusive;inclusiv
incluso;inclus
incluye;inclu
incluyendo;inclu
incompetente;incompetent
inconsciente;inconscient
inconveniente;inconvenient
increible;increibl
increíble;increibl
increíblemente;increibl
increíbles;increibl
incómodo;incomod
independencia;independent
independiente;independient
india;indi
indica;indic
indicado;indic
indican;indic
indicios;indici
indio;indi
indios;indi
individuo;individu
industria;industri
industrias;industri
inesperado;inesper
inestable;inest
inevitable;inevit
infancia;infanci
infantería;infant
infarto;infart
infección;infeccion
infectada;infect
infectado;infect
infierno;infiern
infinito;infinit
influencia;influenci
informa;inform
información;inform
informado;inform
informante;inform
informar;inform
informarle;inform
informe;inform
informes;inform
informó;inform
ingeniero;ingenier
ingenieros;ingenier
ingeniería;ingeni
ingenioso;ingeni
inglaterra;inglaterr
inglesa;ingles
ingleses;ingles
inglés;ingles
ingresar;ingres
ingreso;ingres
ingresos;ingres
iniciales;inicial
iniciar;inici
iniciativa;inici
inicio;inici
injusto;injust
inmediata;inmediat
inmediatamente;inmediat
inmediato;inmediat
inmenso;inmens
inmigración;inmigr
inmortalidad;inmortal
inmunidad;inmun
inocencia;inocent
inocente;inocent
inocentes;inocent
inodoro;inodor
inscripción;inscripcion
insecto;insect
insectos;insect
insensible;insens
insignia;insigni
insignificante;insignif
insiste;insist
insistes;insist
insistió;insist
insisto;insist
insoportable;insoport
inspección;inspeccion
inspiración;inspir
instalaciones;instal
instalación;instal
instante;instant
instinto;instint
instintos;instint
institución;institu
instituto;institut
instrucciones;instruccion
instrumento;instrument
instrumentos;instrument
insultar;insult
insulto;insult
intacta;intact
integridad;integr
inteligencia;inteligent
inteligente;inteligent
inteligentes;inteligent
intenciones;intencion
intención;intencion
intensidad;intens
intenso;intens
intenta;intent
intentaba;intent
intentado;intent
intentamos;intent
intentan;intent
intentando;intent
intentar;intent
intentaremos;intent
intentarlo;intent
intentaron;intent
intentaré;intent
intentas;intent
intentaste;intent
intente;intent
intenten;intent
intentes;intent
intento;intent
intentos;intent
intentándolo;intent
intenté;intent
intentó;intent
intercambio;intercambi
interesa;interes
interesada;interes
interesado;interes
interesados;interes
interesan;interes
interesante;interes
interesantes;interes
interese;interes
intereses;interes
interferencia;interferent
interferir;interfer
interna;intern
internacionales;internacional
internado;intern
interno;intern
internos;intern
interpretación;interpret
interrogatorio;interrogatori
interrumpir;interrump
intervención;intervencion
interés;interes
intimidad;intim
intruso;intrus
intrusos;intrus
inténtalo;intental
invasión;invasion
invencible;invenc
inventado;invent
inventando;invent
inventar;invent
invento;invent
inventé;invent
inventó;invent
inversiones;inversion
inversión;inversion
inversores;inversor
invertido;invert
invertir;invert
investiga;investig
investigaciones;investig
investigación;investig
investigador;investig
investigando;investig
investigar;investig
invierno;inviern
invisible;invis
invita;invit
invitación;invit
invitada;invit
invitado;invit
invitados;invit
invitar;invit
invitarme;invit
invitaron;invit
invitarte;invitart
invitaste;invit
invito;invit
invité;invit
invitó;invit
involucrado;involucr
involucrados;involucr
inyección;inyeccion
inútil;inutil
inútiles;inutil
iremos;irem
irlanda;irland
irlandeses;irlandes
irlandés;irlandes
irresponsable;irrespons
irá;ira
irán;iran
irás;iras
iré;ire
iría;iri
iríamos;iri
irías;iri
irónico;iron
islandia;islandi
italia;itali
italiana;italian
italiano;italian
italianos;italian
izquierda;izquierd
izquierdo;izquierd
jabalí;jabal
jabón;jabon
jade;jad
jala;jal
jamas;jam
jamás;jamas
jamón;jamon
japonesa;japones
japoneses;japones
japonés;japones
japón;japon
jaque;jaqu
jardinero;jardiner
jardín;jardin
jaula;jaul
jefa;jef
jefe;jef
jefes;jef
jerusalén;jerusalen
jesucristo;jesucrist
jesús;jesus
jinete;jinet
jinetes;jinet
joda;jod
jodan;jod
jodas;jod
jode;jod
joder;jod
jodete;jodet
jodida;jod
jodidamente;jodid
jodido;jod
jodidos;jod
jodiendo;jod
jodió;jod
joven;jov
jovencita;jovencit
jovencito;jovencit
joya;joy
joyas;joy
judas;jud
judía;jud
judío;judi
judíos;judi
jueces;juec
juega;jueg
juegan;jueg
juegas;jueg
juego;jueg
juegos;jueg
juegues;jueg
jueves;juev
jugaba;jug
jugada;jug
jugado;jug
jugadores;jugador
jugamos;jug
jugando;jug
jugar;jug
jugo;jug
juguemos;jug
juguete;juguet
juguetes;juguet
jugué;jug
jugó;jug
juicio;juici
julio;juli
jungla;jungl
junio;juni
junta;junt
juntar;junt
juntas;junt
junto;junt
juntos;junt
jura;jur
jurado;jur
juramento;jurament
jurar;jur
jurisdicción;jurisdiccion
juro;jur
juré;jur
juró;jur
justa;just
justamente;just
justicia;justici
justificar;justific
justo;just
juzgado;juzg
juzgar;juzg
jódete;jodet
jóvenes;joven
júpiter;jupit
kilo;kil
kilos;kil
kilómetro;kilometr
kilómetros;kilometr
laberinto;laberint
labios;labi
laboratorio;laboratori
laboratorios;laboratori
lado;lad
lados;lad
ladrones;ladron
ladrón;ladron
lago;lag
lamentable;lament
lamentablemente;lament
lamento;lament
lana;lan
lance;lanc
lancha;lanch
langosta;langost
lanza;lanz
lanzado;lanz
lanzamiento;lanzamient
lanzar;lanz
lanzas;lanz
lanzó;lanz
larga;larg
largas;larg
largo;larg
largos;larg
larguémonos;larguemon
lasaña;lasañ
lastima;lastim
lastimado;lastim
lastimando;lastim
lastimar;lastim
lastimarte;lastimart
lastime;lastim
lastimen;lastim
lastimes;lastim
lastimé;lastim
lastimó;lastim
lata;lat
latas;lat
late;lat
latín;latin
lava;lav
lavado;lav
lavandería;lavand
lavar;lav
lazo;laz
lazos;laz
lealtad;lealt
lecciones;leccion
lección;leccion
leche;lech
lectura;lectur
lecturas;lectur
leerlo;leerl
legales;legal
legalmente;legal
legítimo;legitim
leia;lei
lejano;lejan
lejos;lej
lema;lem
lengua;lengu
lenguaje;lenguaj
lenta;lent
lentamente;lent
lentes;lent
lento;lent
leones;leon
lesbiana;lesbian
lesiones;lesion
lesión;lesion
letra;letr
letras;letr
letrero;letrer
levanta;levant
levantado;levant
levantar;levant
levantarme;levant
levantarse;levant
levantarte;levantart
levantate;levantat
levante;levant
levanten;levant
levantes;levant
levanto;levant
levanté;levant
levantó;levant
leve;lev
levántate;levantat
levántense;levantens
levántese;levantes
leyenda;leyend
leyendas;leyend
leyendo;leyend
leyes;ley
leyó;ley
leí;lei
leído;leid
leíste;leist
leña;leñ
león;leon
libera;liber
liberación;liber
liberado;liber
liberar;liber
libertad;libert
libra;libr
libras;libr
libre;libr
libremente;librement
librería;libr
libres;libr
libreta;libret
libro;libr
libros;libr
licencia;licenci
lider;lid
liderazgo;liderazg
lidiar;lidi
liga;lig
ligera;liger
ligero;liger
lila;lil
limitado;limit
limonada;limon
limosina;limosin
limpia;limpi
limpiando;limpi
limpiar;limpi
limpias;limpi
limpieza;limpiez
limpio;limpi
limpios;limpi
limusina;limusin
limón;limon
linaje;linaj
linda;lind
lindas;lind
lindo;lind
lindos;lind
linea;line
lino;lin
linterna;lintern
lisa;lis
lista;list
listas;list
listo;list
listos;list
literalmente;literal
literatura;literatur
litro;litr
litros;litr
llama;llam
llamaba;llam
llamaban;llam
llamada;llam
llamadas;llam
llamado;llam
llamados;llam
llamamos;llam
llaman;llam
llamando;llam
llamar;llam
llamara;llam
llamare;llamar
llamaremos;llam
llamarla;llam
llamarle;llam
llamarlo;llam
llamarme;llam
llamaron;llam
llamarte;llamart
llamará;llam
llamaré;llam
llamaría;llam
llamas;llam
llamaste;llam
llame;llam
llamen;llam
llames;llam
llamo;llam
llamé;llam
llamó;llam
llantas;llant
llave;llav
llaves;llav
llega;lleg
llegaba;lleg
llegada;lleg
llegado;lleg
llegamos;lleg
llegan;lleg
llegando;lleg
llegar;lleg
llegara;lleg
llegaremos;lleg
llegaron;lleg
llegará;lleg
llegarán;lleg
llegarás;lleg
llegaré;lleg
llegaría;lleg
llegas;lleg
llegaste;lleg
llego;lleg
llegue;lleg
lleguemos;lleg
lleguen;lleg
llegues;lleg
llegué;lleg
llegó;lleg
llena;llen
llenar;llen
llenas;llen
lleno;llen
llenos;llen
lleva;llev
llevaba;llev
llevaban;llev
llevado;llev
llevamos;llev
llevan;llev
llevando;llev
llevar;llev
llevara;llev
llevare;llevar
llevaremos;llev
llevarla;llev
llevarle;llev
llevarlo;llev
llevarlos;llev
llevarme;llev
llevarnos;llev
llevaron;llev
llevarse;llev
llevarte;llevart
llevará;llev
llevarán;llev
llevarás;llev
llevaré;llev
llevaría;llev
llevas;llev
llevaste;llev
lleve;llev
llevemos;llev
lleven;llev
lleves;llev
llevo;llev
llevé;llev
llevó;llev
llora;llor
llorando;llor
llorar;llor
lloras;llor
llores;llor
lloro;llor
llover;llov
lloviendo;llov
llueve;lluev
lluvia;lluvi
llámala;llamal
llámalo;llamal
llámame;llamam
llámeme;llamem
llévala;lleval
llévalo;lleval
llévame;llevam
llévate;llevat
llévatelo;llevatel
lléveme;llevem
llévenlo;llevenl
llévenselo;llevensel
lobo;lob
lobos;lob
loca;loc
locales;local
localizado;localiz
localizar;localiz
locas;loc
loco;loc
locos;loc
locura;locur
locuras;locur
lodo;lod
logra;logr
logrado;logr
logramos;logr
lograr;logr
lograremos;logr
lograrlo;logr
lograron;logr
logrará;logr
lograrás;logr
logras;logr
lograste;logr
logre;logr
logro;logr
logré;logr
logró;logr
lola;lol
londres;londr
lote;lot
lotería;lot
luca;luc
luce;luc
lucen;luc
luces;luc
lucha;luch
luchado;luch
luchamos;luch
luchando;luch
luchar;luch
luchas;luch
luchó;luch
lucio;luci
lucir;luc
luego;lueg
lugar;lug
lugares;lugar
lujo;luj
luna;lun
lunar;lun
lunes;lun
lunático;lunat
luto;lut
luzco;luzc
lágrimas;lagrim
lámpara;lamp
lápiz;lapiz
lárgate;largat
lárguense;larguens
láser;las
lástima;lastim
líder;lid
líderes;lider
límite;limit
límites;limit
línea;line
líneas;lin
lío;lio
líos;lios
líquido;liqu
lógica;logic
lógico;logic
macho;mach
madera;mader
madre;madr
madres;madr
madrina;madrin
madrugada;madrug
madura;madur
maestra;maestr
maestro;maestr
maestros;maestr
mafia;mafi
magdalena;magdalen
magia;magi
magneto;magnet
magnifico;magnif
magnífica;magnif
magnífico;magnif
mago;mag
majestad;majest
mala;mal
malas;mal
maldad;mald
maldición;maldicion
maldita;maldit
malditas;maldit
maldito;maldit
malditos;maldit
malentendido;malentend
maleta;malet
maletas;malet
maletero;maleter
maletín;maletin
maligno;malign
malo;mal
malos;mal
malvada;malv
malvado;malv
malvados;malv
mama;mam
mamita;mamit
mamá;mam
manada;man
manager;manag
mancha;manch
manchas;manch
manda;mand
mandado;mand
mandan;mand
mandar;mand
mandaron;mand
mandaré;mand
mandaste;mand
mande;mand
manden;mand
mando;mand
mandé;mand
mandíbula;mandibul
mandó;mand
maneja;manej
manejando;manej
manejar;manej
manejarlo;manej
manejas;manej
manejo;manej
manera;maner
maneras;maner
manga;mang
manguera;manguer
manicomio;manicomi
maniobra;maniobr
maniobras;maniobr
mano;man
manos;man
mansión;mansion
manta;mant
mantendremos;mantendr
mantendrá;mantendr
mantendré;mantendr
mantenemos;manten
mantener;manten
mantenerlo;manten
mantenerme;manten
mantenernos;manten
mantenerse;manten
mantenerte;mantenert
mantenga;manteng
mantengan;manteng
mantengo;manteng
mantenido;manten
manteniendo;manten
mantenimiento;manten
mantenlo;mantenl
mantente;mantent
mantequilla;mantequill
mantiene;mantien
mantienen;mantien
mantienes;mantien
mantuvo;mantuv
mantén;manten
manténganse;mantengans
manzana;manzan
manzanas;manzan
maní;man
mapa;map
mapas;map
maquillaje;maquillaj
maquina;maquin
maquinaria;maquinari
maravilla;maravill
maravillas;maravill
maravillosa;maravill
maravillosas;maravill
maravilloso;maravill
maravillosos;maravill
marca;marc
marcado;marc
marcar;marc
marcas;marc
marcha;march
marchado;march
marchando;march
marchar;march
marcharme;march
marcharse;march
marcharte;marchart
marchen;march
marcho;march
marchó;march
marciales;marcial
marco;marc
marcos;marc
marea;mare
mares;mar
margen;marg
marica;maric
maricas;maric
maricones;maricon
maricón;maricon
marido;mar
marihuana;marihuan
marina;marin
marinero;mariner
marineros;mariner
marines;marin
marino;marin
mariposa;marip
mariquita;mariquit
marqués;marques
marruecos;marruec
marrón;marron
marte;mart
martes;mart
martillo;martill
martín;martin
marzo;marz
maría;mar
masa;mas
masacre;masacr
masaje;masaj
masajes;masaj
masas;mas
mascota;mascot
mascotas;mascot
masculino;masculin
masiva;masiv
mata;mat
matado;mat
matamos;mat
matan;mat
matando;mat
matanza;matanz
matar;mat
matara;mat
mataran;mat
matare;matar
mataremos;mat
matarla;mat
matarle;mat
matarlo;mat
matarlos;mat
matarme;mat
matarnos;mat
mataron;mat
matarte;matart
matará;mat
matarán;mat
matarás;mat
mataré;mat
mataría;mat
matarían;mat
matas;mat
mataste;mat
mate;mat
matemática;matemat
matemáticas;matemat
maten;mat
materia;materi
materiales;material
mates;mat
mato;mat
matones;maton
matrimonio;matrimoni
matrícula;matricul
maté;mat
mató;mat
matón;maton
maya;may
mayo;may
